last_scraped,name,description,neighborhood_overview,host_name,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,estimated_occupancy_l365d,first_review,last_review,instant_bookable,central,review_scores_rating
9406,42,529,370,7,5509,62,14,1.0,1.0,1,1,1,18,1,40.69641,-73.91917,27,12,2,1.5,16,1,1.0,536,83.0,3,30,218,6071,9380,1,6.65,4.67
9406,46,514,563,5,4962,441,0,,,0,1,1,18,1,40.74041,-73.92623,27,12,1,,6,,,160,,30,60,0,6114,6576,0,7.04,5.0
9406,34,386,695,15,6554,283,14,0.99,0.81,0,266,414,18,1,40.7796761,-73.9825455,18,15,2,,6,,,452,,30,365,60,9031,9375,0,7.37,5.0
9406,49,508,625,6,7320,0,18,0.33,,0,3,4,18,1,40.57737,-73.96274,27,12,5,1.0,13,1,2.0,636,78.0,30,180,0,7607,7607,0,6.78,5.0
9406,27,324,0,3,4966,0,18,1.0,0.9,1,1,4,18,1,40.67470912360229,-73.98408794858706,18,15,4,2.0,7,2,2.0,412,279.0,30,1125,240,8590,9377,0,7.15,5.0
9406,49,520,242,12,7029,0,14,1.0,1.0,1,1,1,18,1,40.66736,-73.98157,18,15,2,1.0,6,1,1.0,946,170.0,30,1125,255,7136,9345,0,7.26,4.99
9406,43,287,0,0,,0,0,,,0,,,0,,40.7616087,-73.9974723,18,15,2,1.0,6,1,1.0,457,392.0,31,1125,62,9134,9134,1,6.93,5.0
9406,38,249,558,5,5301,0,0,,,0,2,2,18,1,40.70236,-73.98404,18,15,4,,6,2,,281,,30,1124,0,5663,7177,1,7.32,4.78
9406,44,170,216,5,5841,0,0,,,0,1,1,18,1,40.78347,-73.98226,18,15,1,,6,,,84,,30,1125,0,6314,6539,0,7.6,4.92
9406,47,498,272,7,4913,430,18,1.0,1.0,1,1,1,18,1,40.68554,-73.96952,18,15,2,1.0,6,1,1.0,975,265.0,30,90,255,6462,9387,0,7.57,4.85
9406,32,489,302,9,4303,57,0,,,0,1,2,18,1,40.67546,-73.96953,18,15,3,,6,2,,164,,30,1125,0,5761,5768,0,6.92,4.5
9406,33,455,66,4,6189,0,0,,,0,1,1,18,1,40.75564,-73.98463,18,15,2,,6,1,,144,,30,30,0,6260,6521,0,6.98,5.0
9406,31,345,0,7,8011,25,0,,,0,1,3,18,1,40.68045,-73.87239,25,12,2,,13,,,689,,30,30,0,8377,8730,0,7.2,4.87
9406,23,495,0,6,5597,0,0,,,0,1,2,18,1,40.67565,-73.96695,18,15,2,,6,,,232,,30,75,0,6336,7087,0,7.31,5.0
9406,31,431,1000,14,5432,1247,14,1.0,0.8,1,78,85,18,1,40.78154,-73.94738,18,15,3,1.0,6,2,2.0,435,143.0,30,365,60,9005,9145,0,7.88,5.0
9406,50,574,1000,5,4902,65,0,,0.0,0,1,1,18,1,40.68314,-73.96961,12,15,4,2.0,7,2,2.0,1509,200.0,30,1125,0,8324,8750,0,7.04,5.0
9406,30,211,218,6,4811,92,18,1.0,0.8,0,1,1,18,1,40.63776,-73.96504,18,15,4,1.0,6,2,4.0,548,120.0,30,90,240,8674,9312,0,7.37,4.75
9406,28,243,703,4,4751,0,0,,,0,1,1,18,1,40.8263,-73.95006,27,12,1,,6,,,76,,30,1125,0,5796,5820,0,7.48,4.5
9406,50,480,1000,3,6387,3860,14,0.99,0.71,1,151,366,32,1,40.7404828,-73.88390629999999,27,12,2,1.0,14,1,1.0,444,100.0,30,365,180,8420,9352,0,6.76,5.0
9406,30,236,86,5,6104,579,14,1.0,0.0,0,2,2,18,1,40.68203,-73.92751,27,12,1,1.0,13,1,1.0,339,51.0,30,90,0,6125,7305,0,7.13,4.8
9406,49,550,365,5,3626,452,14,1.0,0.83,1,2,4,18,1,40.74077,-73.98261,18,15,1,1.0,6,1,1.0,498,133.0,30,180,0,8248,8532,0,7.04,4.5
9406,30,250,0,7,5924,202,18,0.0,,0,1,2,18,1,40.72278,-73.98256,27,12,2,1.0,13,1,1.0,127,114.0,30,1125,0,6318,6791,1,7.13,4.83
9406,25,200,0,6,5906,434,18,0.99,0.66,1,204,387,18,1,40.7734986,-73.95090929999999,18,15,2,1.0,6,0,1.0,375,145.0,30,365,120,8489,9235,0,6.91,4.43
9406,23,489,690,8,5954,246,14,1.0,0.98,,9,11,18,1,40.6841134822437,-73.9305333504211,27,12,1,1.0,13,1,1.0,679,56.0,30,125,180,9190,9291,0,7.44,4.33
9406,49,415,144,9,5083,34,0,,,0,1,3,18,1,40.764,-73.98626,27,12,2,,9,,,171,,30,1125,0,7099,7305,0,7.47,5.0
9406,47,520,697,15,6554,283,14,0.99,0.81,0,266,414,18,1,40.7629644,-73.9920309,18,15,3,1.0,6,1,1.0,563,212.0,30,365,0,8695,8695,0,7.31,5.0
9406,42,505,326,5,3959,253,14,1.0,0.92,1,2,2,18,1,40.8238,-73.94444,27,12,2,1.5,9,1,1.0,766,44.0,30,1125,240,4132,9138,0,7.46,4.71
